COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
4000022,111,10/05/2020 00,11/05/2020 00,5,ug/m3
4000022,111,11/05/2020 00,12/05/2020 00,1,ug/m3
4000022,111,12/05/2020 00,13/05/2020 00,5,ug/m3
4000022,111,13/05/2020 00,14/05/2020 00,6,ug/m3
4000022,111,14/05/2020 00,15/05/2020 00,13,ug/m3
4000022,111,15/05/2020 00,16/05/2020 00,8,ug/m3
4000022,111,16/05/2020 00,17/05/2020 00,9,ug/m3
4000022,111,17/05/2020 00,18/05/2020 00,15,ug/m3
4000022,111,18/05/2020 00,19/05/2020 00,15,ug/m3
4000022,111,19/05/2020 00,20/05/2020 00,13,ug/m3
4000022,111,20/05/2020 00,21/05/2020 00,8,ug/m3
4000022,111,21/05/2020 00,22/05/2020 00,9,ug/m3
4000022,111,22/05/2020 00,23/05/2020 00,12,ug/m3
4000022,111,23/05/2020 00,24/05/2020 00,14,ug/m3
4000022,111,24/05/2020 00,25/05/2020 00,8,ug/m3
4000022,111,25/05/2020 00,26/05/2020 00,8,ug/m3
4000022,111,26/05/2020 00,27/05/2020 00,9,ug/m3
4000022,111,27/05/2020 00,28/05/2020 00,10,ug/m3
4000022,111,28/05/2020 00,29/05/2020 00,8,ug/m3
4000022,111,29/05/2020 00,30/05/2020 00,4,ug/m3
4000022,111,30/05/2020 00,31/05/2020 00,6,ug/m3
4000022,111,31/05/2020 00,01/06/2020 00,4,ug/m3
4000022,111,01/06/2020 00,02/06/2020 00,6,ug/m3
4000022,111,02/06/2020 00,03/06/2020 00,5,ug/m3
4000022,111,03/06/2020 00,04/06/2020 00,2,ug/m3
4000022,111,04/06/2020 00,05/06/2020 00,1,ug/m3
4000022,111,05/06/2020 00,06/06/2020 00,3,ug/m3
4000022,111,06/06/2020 00,07/06/2020 00,4,ug/m3
4000022,111,07/06/2020 00,08/06/2020 00,4,ug/m3
4000022,111,08/06/2020 00,09/06/2020 00,12,ug/m3
4000022,111,09/06/2020 00,10/06/2020 00,8,ug/m3
4000022,111,10/06/2020 00,11/06/2020 00,6,ug/m3
4000022,111,11/06/2020 00,12/06/2020 00,11,ug/m3
4000022,111,12/06/2020 00,13/06/2020 00,8,ug/m3
4000022,111,13/06/2020 00,14/06/2020 00,6,ug/m3
4000022,111,14/06/2020 00,15/06/2020 00,4,ug/m3
4000022,111,15/06/2020 00,16/06/2020 00,6,ug/m3
4000022,111,16/06/2020 00,17/06/2020 00,6,ug/m3
4000022,111,17/06/2020 00,18/06/2020 00,7,ug/m3
4000022,111,18/06/2020 00,19/06/2020 00,6,ug/m3
4000022,111,19/06/2020 00,20/06/2020 00,7,ug/m3
4000022,111,20/06/2020 00,21/06/2020 00,8,ug/m3
4000022,111,21/06/2020 00,22/06/2020 00,8,ug/m3
4000022,111,22/06/2020 00,23/06/2020 00,8,ug/m3
4000022,111,23/06/2020 00,24/06/2020 00,8,ug/m3
4000022,111,24/06/2020 00,25/06/2020 00,9,ug/m3
4000022,111,25/06/2020 00,26/06/2020 00,9,ug/m3
4000022,111,26/06/2020 00,27/06/2020 00,9,ug/m3
4000022,111,27/06/2020 00,28/06/2020 00,11,ug/m3
4000022,111,28/06/2020 00,29/06/2020 00,10,ug/m3
4000022,111,29/06/2020 00,30/06/2020 00,6,ug/m3
4000022,111,30/06/2020 00,01/07/2020 00,10,ug/m3
4000022,111,01/07/2020 00,02/07/2020 00,11,ug/m3
4000022,111,02/07/2020 00,03/07/2020 00,11,ug/m3
4000022,111,03/07/2020 00,04/07/2020 00,10,ug/m3
4000022,111,04/07/2020 00,05/07/2020 00,9,ug/m3
4000022,111,05/07/2020 00,06/07/2020 00,8,ug/m3
4000022,111,06/07/2020 00,07/07/2020 00,11,ug/m3
4000022,111,07/07/2020 00,08/07/2020 00,6,ug/m3
4000022,111,08/07/2020 00,09/07/2020 00,7,ug/m3
4000022,111,09/07/2020 00,10/07/2020 00,12,ug/m3
4000022,111,10/07/2020 00,11/07/2020 00,13,ug/m3
4000022,111,11/07/2020 00,12/07/2020 00,10,ug/m3
4000022,111,12/07/2020 00,13/07/2020 00,4,ug/m3
4000022,111,13/07/2020 00,14/07/2020 00,7,ug/m3
4000022,111,14/07/2020 00,15/07/2020 00,8,ug/m3
4000022,111,15/07/2020 00,16/07/2020 00,10,ug/m3
4000022,111,16/07/2020 00,17/07/2020 00,10,ug/m3
4000022,111,17/07/2020 00,18/07/2020 00,6,ug/m3
4000022,111,18/07/2020 00,19/07/2020 00,4,ug/m3
4000022,111,19/07/2020 00,20/07/2020 00,6,ug/m3
4000022,111,20/07/2020 00,21/07/2020 00,11,ug/m3
4000022,111,21/07/2020 00,22/07/2020 00,12,ug/m3
4000022,111,30/07/2020 00,31/07/2020 00,11,ug/m3
4000022,111,31/07/2020 00,01/08/2020 00,15,ug/m3
4000022,111,01/08/2020 00,02/08/2020 00,20,ug/m3
4000022,111,02/08/2020 00,03/08/2020 00,6,ug/m3
4000022,111,03/08/2020 00,04/08/2020 00,7,ug/m3
4000022,111,04/08/2020 00,05/08/2020 00,6,ug/m3
4000022,111,05/08/2020 00,06/08/2020 00,6,ug/m3
4000022,111,06/08/2020 00,07/08/2020 00,9,ug/m3
4000022,111,07/08/2020 00,08/08/2020 00,15,ug/m3
4000022,111,08/08/2020 00,09/08/2020 00,15,ug/m3
4000022,111,09/08/2020 00,10/08/2020 00,13,ug/m3
4000022,111,10/08/2020 00,11/08/2020 00,14,ug/m3
4000022,111,11/08/2020 00,12/08/2020 00,13,ug/m3
4000022,111,12/08/2020 00,13/08/2020 00,13,ug/m3
4000022,111,13/08/2020 00,14/08/2020 00,13,ug/m3
4000022,111,14/08/2020 00,15/08/2020 00,11,ug/m3
4000022,111,15/08/2020 00,16/08/2020 00,10,ug/m3
4000022,111,16/08/2020 00,17/08/2020 00,11,ug/m3
4000022,111,17/08/2020 00,18/08/2020 00,8,ug/m3
4000022,111,18/08/2020 00,19/08/2020 00,8,ug/m3
4000022,111,19/08/2020 00,20/08/2020 00,10,ug/m3
4000022,111,20/08/2020 00,21/08/2020 00,12,ug/m3
4000022,111,21/08/2020 00,22/08/2020 00,12,ug/m3
4000022,111,22/08/2020 00,23/08/2020 00,10,ug/m3
4000022,111,23/08/2020 00,24/08/2020 00,10,ug/m3
4000022,111,24/08/2020 00,25/08/2020 00,6,ug/m3
4000022,111,25/08/2020 00,26/08/2020 00,6,ug/m3
4000022,111,26/08/2020 00,27/08/2020 00,11,ug/m3
4000022,111,27/08/2020 00,28/08/2020 00,10,ug/m3
4000022,111,28/08/2020 00,29/08/2020 00,9,ug/m3
4000022,111,29/08/2020 00,30/08/2020 00,6,ug/m3
4000022,111,30/08/2020 00,31/08/2020 00,5,ug/m3
4000022,111,31/08/2020 00,01/09/2020 00,7,ug/m3
4000022,111,01/09/2020 00,02/09/2020 00,9,ug/m3
4000022,111,02/09/2020 00,03/09/2020 00,11,ug/m3
4000022,111,03/09/2020 00,04/09/2020 00,12,ug/m3
4000022,111,04/09/2020 00,05/09/2020 00,12,ug/m3
4000022,111,05/09/2020 00,06/09/2020 00,11,ug/m3
4000022,111,06/09/2020 00,07/09/2020 00,7,ug/m3
4000022,111,07/09/2020 00,08/09/2020 00,8,ug/m3
4000022,111,08/09/2020 00,09/09/2020 00,10,ug/m3
4000022,111,09/09/2020 00,10/09/2020 00,12,ug/m3
4000022,111,10/09/2020 00,11/09/2020 00,15,ug/m3
4000022,111,11/09/2020 00,12/09/2020 00,14,ug/m3
4000022,111,12/09/2020 00,13/09/2020 00,15,ug/m3
4000022,111,13/09/2020 00,14/09/2020 00,22,ug/m3
4000022,111,14/09/2020 00,15/09/2020 00,22,ug/m3
4000022,111,15/09/2020 00,16/09/2020 00,19,ug/m3
4000022,111,16/09/2020 00,17/09/2020 00,19,ug/m3
4000022,111,17/09/2020 00,18/09/2020 00,18,ug/m3
4000022,111,18/09/2020 00,19/09/2020 00,18,ug/m3
4000022,111,19/09/2020 00,20/09/2020 00,13,ug/m3
4000022,111,20/09/2020 00,21/09/2020 00,15,ug/m3
4000022,111,21/09/2020 00,22/09/2020 00,11,ug/m3
4000022,111,22/09/2020 00,23/09/2020 00,12,ug/m3
4000022,111,23/09/2020 00,24/09/2020 00,7,ug/m3
4000022,111,24/09/2020 00,25/09/2020 00,2,ug/m3
4000022,111,25/09/2020 00,26/09/2020 00,2,ug/m3
4000022,111,26/09/2020 00,27/09/2020 00,3,ug/m3
4000022,111,27/09/2020 00,28/09/2020 00,6,ug/m3
4000022,111,28/09/2020 00,29/09/2020 00,12,ug/m3
4000022,111,29/09/2020 00,30/09/2020 00,16,ug/m3
